DEPT,DEN,DT,GR,NEUT,RES_DEP,Facies,velocity
10958.5,2.3659,119.3815,114.2162,0.4217,0.6895,shale,8376.507247772895
10959.0,2.3554,120.1042,112.3986,0.4066,0.6937,shale,8326.103500127389
10959.5,2.345,119.5182,114.01,0.3908,0.6974,shale,8366.926543405105
10960.0,2.3413,118.1576,120.712,0.4179,0.6991,shale,8463.272781437672
10960.5,2.335,116.8294,121.0825,0.4,0.6892,shale,8559.489306630008
10961.0,2.3277,116.9271,120.332,0.4135,0.6918,shale,8552.337311025418
10961.5,2.3361,117.5911,113.2138,0.3942,0.6881,shale,8504.044948979983
10962.0,2.3539,118.2845,115.4434,0.3983,0.675,shale,8454.193068407103
10962.5,2.3628,119.3229,112.6292,0.415,0.6696,shale,8380.620987253913
10963.0,2.3596,119.5247,113.9548,0.4359,0.6634,shale,8366.471532662286
10963.5,2.3507,120.6771,110.2281,0.4235,0.6639,shale,8286.576326411556
10964.0,2.345,120.7194,108.5675,0.421,0.6746,shale,8283.672715404484
10964.5,2.341,120.459,107.1985,0.4206,0.6795,shale,8301.579790634158
10965.0,2.3404,120.1074,111.4911,0.4276,0.6841,shale,8325.881669239365
10965.5,2.3436,118.9128,112.7467,0.4214,0.6823,shale,8409.523617306126
10966.0,2.3443,118.6523,118.1057,0.4099,0.6743,shale,8427.986646697957
10966.5,2.3473,119.0006,108.7466,0.4104,0.6658,shale,8403.318974862312
10967.0,2.3549,117.8548,111.3621,0.4139,0.6635,shale,8485.017156704691
10967.5,2.3632,118.1282,107.8876,0.4136,0.6547,shale,8465.379138935496
10968.0,2.3672,118.5091,114.6275,0.4168,0.651,shale,8438.170570867553
10968.5,2.3678,117.0573,105.7393,0.4221,0.6462,shale,8542.824753347293
10969.0,2.371,116.849,107.8033,0.4142,0.6404,shale,8558.053556299155
10969.5,2.3739,116.4974,103.2938,0.4116,0.6427,shale,8583.882558752384
10970.0,2.3749,115.498,106.22,0.4025,0.6506,shale,8658.158582832602
10970.5,2.3735,116.8555,110.944,0.415,0.6543,shale,8557.577520955367
10971.0,2.3723,117.1842,114.9553,0.4181,0.6522,shale,8533.573638767
10971.5,2.3706,117.4218,118.8843,0.4342,0.6357,shale,8516.30617142643
10972.0,2.3671,117.168,113.8453,0.4314,0.6338,shale,8534.753516318448
10972.5,2.361,115.8431,112.0469,0.448,0.6708,shale,8632.36567391584
10973.0,2.3577,114.987,108.4859,0.4394,0.6805,shale,8696.635271813337
10973.5,2.3635,114.7787,107.0523,0.4317,0.6899,shale,8712.41789635185
10974.0,2.3777,114.8991,107.2054,0.4656,0.6999,shale,8703.28836344236
10974.5,2.3908,115.0325,114.525,0.4583,0.7066,shale,8693.195401299632
10975.0,2.3905,115.5013,118.7716,0.4784,0.7103,shale,8657.91120965738
10975.5,2.3826,115.3646,119.2298,0.4607,0.7082,shale,8668.170305275622
10976.0,2.376,115.1432,116.8375,0.4528,0.6982,shale,8684.837663014403
10976.5,2.378,114.7233,110.9719,0.4566,0.6955,shale,8716.625131947912
10977.0,2.3809,114.0006,105.4297,0.4186,0.7145,shale,8771.883656752683
10977.5,2.383,114.3848,101.8677,0.4351,0.7181,shale,8742.420321581189
10978.0,2.3828,115.0,101.3289,0.4106,0.7215,shale,8695.652173913044
10978.5,2.3831,115.5892,104.0531,0.4262,0.7317,shale,8651.327286632315
10979.0,2.3835,115.5013,105.8237,0.4345,0.7362,shale,8657.91120965738
10979.5,2.384,115.0293,108.136,0.4379,0.7398,shale,8693.437237295193
10980.0,2.3829,113.7565,108.1735,0.44,0.7377,shale,8790.70646512507
10980.5,2.3796,112.4381,113.1045,0.4395,0.7426,shale,8893.782445630084
