Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
6459.0,105.961,1.6172,2.1043,0.4833,0.3305,3464.412819940869,freeman_3
6459.5,107.657,1.6566,2.134,0.4607,0.3107,1392.1029441256726,freeman_3
6460.0,106.564,1.654,2.1476,0.4057,0.3016,915.567828632476,freeman_3
6460.5,107.136,1.6327,2.1442,0.4011,0.3039,1017.8544467181226,freeman_3
6461.0,108.358,1.5128,2.1287,0.4139,0.3142,1635.55057516117,freeman_3
6461.5,107.959,1.2343,2.1052,0.492,0.3299,3370.007761587078,freeman_3
6462.0,109.099,0.9808,2.083,0.5299,0.3447,6661.924711077559,freeman_3
6462.5,111.119,0.9074,2.072,0.52,0.352,9323.615184908303,freeman_3
6463.0,115.011,0.9266,2.0726,0.4803,0.3516,9153.457791084054,freeman_3
6463.5,115.809,0.9595,2.0775,0.409,0.3483,7863.06988754928,freeman_3
6464.0,110.981,0.9856,2.0798,0.4175,0.3468,7338.297188265095,freeman_3
6464.5,99.8322,0.9817,2.078,0.4253,0.348,7755.195810581028,freeman_3
6465.0,99.0132,0.9381,2.0736,0.4565,0.3509,8863.12058451855,freeman_3
6465.5,102.773,0.9015,2.0676,0.5461,0.3549,10655.607889970175,freeman_3
6466.0,109.162,0.9407,2.0617,0.5144,0.3589,12810.609809723368,freeman_3
6466.5,109.542,1.0431,2.0558,0.52,0.3628,15330.685940445434,freeman_3
6467.0,111.776,1.1521,2.0517,0.5363,0.3655,17360.246941206093,freeman_3
6467.5,114.701,1.1821,2.0498,0.5518,0.3668,18431.180813561983,freeman_3
6468.0,118.405,1.1679,2.045,0.6068,0.37,21357.30342951222,freeman_3
6468.5,118.523,1.1478,2.0365,0.6319,0.3757,27767.348371702887,freeman_3
6469.0,119.205,1.1308,2.0305,0.7017,0.3797,33383.0476040104,freeman_3
6469.5,113.745,1.0548,2.0301,0.641,0.3799,33691.904451674985,freeman_3
6470.0,110.699,0.8871,2.0303,0.5489,0.3798,33537.12048134184,freeman_3
6470.5,110.886,0.7143,2.0285,0.5186,0.381,35442.40981024401,freeman_3
6471.0,109.719,0.6017,2.0328,0.5508,0.3781,31011.96981990864,freeman_3
6471.5,109.777,0.5736,2.0488,0.5206,0.3675,19034.94756818109,freeman_3
6472.0,107.366,0.5423,2.0657,0.5546,0.3562,11312.940211253328,freeman_3
6472.5,104.764,0.5432,2.0713,0.6047,0.3525,9540.766939709994,freeman_3
6473.0,102.586,0.5719,2.0681,0.6711,0.3546,10509.422763536764,freeman_3
6473.5,99.9137,0.6664,2.0624,0.5417,0.3584,12519.03509483512,freeman_3
6474.0,104.426,0.7828,2.0558,0.5106,0.3628,15330.685940445434,freeman_3
6474.5,108.729,0.7989,2.0494,0.4921,0.3671,18687.556882749752,freeman_3
6475.0,108.158,0.7922,2.0462,0.5128,0.3692,20584.86879928201,freeman_3
6475.5,108.455,0.7894,2.0462,0.5041,0.3692,20584.86879928201,freeman_3
6476.0,105.544,0.7597,2.0474,0.4628,0.3684,19840.370994501307,freeman_3
6476.5,108.537,0.6704,2.0491,0.4989,0.3673,18860.452418766225,freeman_3
6477.0,104.233,0.6242,2.0497,0.5083,0.3669,18516.246296325728,freeman_3
6477.5,103.757,0.6687,2.0474,0.5004,0.3684,19840.370994501307,freeman_3
6478.0,103.34,0.7724,2.0462,0.5154,0.3692,20584.86879928201,freeman_3
6478.5,106.899,0.8817,2.0558,0.5739,0.3628,15330.685940445434,freeman_3
6479.0,106.152,1.0012,2.0784,0.6384,0.3477,7648.801666596751,freeman_3
6479.5,103.423,1.0573,2.099,0.6253,0.334,4070.2610422311386,freeman_3
6480.0,101.724,0.9186,2.1001,0.591,0.3333,3941.157019689546,freeman_3
6480.5,100.057,0.6953,2.0824,0.5673,0.3451,6785.765971130659,freeman_3
6481.0,102.265,0.5984,2.0647,0.5274,0.3569,11683.528361065308,freeman_3
6481.5,103.65,0.629,2.0596,0.6093,0.3603,13663.65393570169,freeman_3
6482.0,101.346,0.8369,2.0612,0.5589,0.3592,12988.804241221676,freeman_3
6482.5,98.8658,1.0581,2.061,0.6051,0.3593,13048.751507459214,freeman_3
6483.0,93.7145,1.1795,2.0579,0.6245,0.3614,14373.56629658904,freeman_3
6483.5,98.9292,1.2151,2.0564,0.6542,0.3624,15050.898592573409,freeman_3
6484.0,103.614,1.2547,2.0572,0.7631,0.3619,14708.33398939498,freeman_3
6484.5,107.424,1.2771,2.0583,0.6212,0.3611,14176.374205057218,freeman_3
6485.0,109.687,1.2855,2.06,0.5273,0.36,13476.201187931843,freeman_3
6485.5,112.923,1.2836,2.0628,0.5131,0.3581,12347.28546336776,freeman_3
6486.0,112.477,1.2907,2.0657,0.546,0.3562,11312.940211253328,freeman_3
6486.5,108.798,1.3008,2.0629,0.5614,0.3581,12347.28546336776,freeman_3
6487.0,104.429,1.3107,2.0526,0.6965,0.3649,16887.181169111267,freeman_3
6487.5,109.592,1.3076,2.0449,0.5896,0.3701,21455.87385455117,freeman_3
6488.0,113.929,1.2854,2.0483,0.5573,0.3678,19299.721978680864,freeman_3
6488.5,41.6807,1.2709,2.0617,0.4404,0.1709,2.2282601046068247,freeman_3
6489.0,42.3031,1.2715,2.0772,0.4938,0.1576,1.2077968851534795,freeman_3
6489.5,42.0248,1.2728,2.0852,0.5135,0.1507,0.8790396043562847,freeman_3
6490.0,40.6029,1.2751,2.0826,0.5166,0.1529,0.9727557514835622,freeman_3
6490.5,39.7972,1.2667,2.0733,0.5166,0.1609,1.4060052837583086,freeman_3
6491.0,40.858,1.2565,2.0645,0.5166,0.1685,1.995128814670284,freeman_3
6491.5,41.7735,1.25,2.0579,0.5166,0.1742,2.593934062238385,freeman_3
6492.0,39.068,1.2448,2.0518,0.5166,0.1795,3.3109129767786256,freeman_3
6492.5,37.6448,1.2322,2.0471,0.5166,0.1835,3.980515677513296,freeman_3
6493.0,38.489,1.2298,2.0445,0.5166,0.1858,4.425216194675256,freeman_3
6493.5,41.0889,1.2327,2.043,0.5166,0.1871,4.6982027444303,freeman_3
6494.0,41.2389,1.2362,2.0446,0.5166,0.1857,4.404886309994008,freeman_3
6494.5,42.8494,1.236,2.05,0.5166,0.181,3.547681357145887,freeman_3
6495.0,46.0466,1.223,2.0526,0.5166,0.1788,3.205894605929128,freeman_3
6495.5,47.2032,1.1953,2.0512,0.5166,0.18,3.3880258293196515,freeman_3
6496.0,47.5046,1.1943,2.0593,0.5166,0.173,2.4544910922169056,freeman_3
6496.5,43.0199,1.2486,2.0831,0.5166,0.1525,0.9550028112112156,freeman_3
6497.0,40.795,1.2368,2.1018,0.5166,0.1364,0.4550284694601389,freeman_3
6497.5,40.0279,1.0709,2.0914,0.5166,0.1453,0.6855195094850057,freeman_3
6498.0,41.4057,0.9171,2.0595,0.5166,0.1728,2.431990542197538,freeman_3
6498.5,41.5005,0.8611,2.0373,0.5166,0.192,5.887371359924495,freeman_3
6499.0,41.4067,0.8949,2.041,0.5166,0.1888,5.080754057247247,freeman_3
6499.5,40.4105,0.994,2.0589,0.5166,0.1734,2.500118637233104,freeman_3
6500.0,46.8108,1.0679,2.0752,0.5166,0.1593,1.306141786207277,freeman_3
6500.5,45.3409,1.0828,2.088,0.5166,0.1483,0.7870702528226815,freeman_3
6501.0,48.0515,1.0871,2.1014,0.5166,0.1367,0.4613578745888034,freeman_3
6501.5,46.2679,1.1053,2.1119,0.5166,0.1277,0.304829433513537,freeman_3
6502.0,43.8758,1.1317,2.1097,0.5166,0.1296,0.3327000729204205,freeman_3
6502.5,42.2747,1.109,2.0946,0.5166,0.1426,0.6053764293535242,freeman_3
6503.0,38.3575,1.0735,2.0846,0.5166,0.1512,0.899512885250064,freeman_3
6503.5,40.2019,1.0818,2.0922,0.5166,0.1447,0.6668391406435418,freeman_3
6504.0,39.2862,1.151,2.1013,0.5166,0.1368,0.4634871809379594,freeman_3
6504.5,40.5152,1.2423,2.0898,0.5166,0.1467,0.7311674840541689,freeman_3
6505.0,42.4933,1.3038,2.0653,0.5166,0.1678,1.931845611752817,freeman_3
6505.5,45.0211,1.3474,2.0523,0.5166,0.1791,3.2504883118675783,freeman_3
6506.0,46.1367,1.3751,2.0576,0.5166,0.1745,2.630015451995009,freeman_3
6506.5,44.0998,1.3823,2.0697,0.5166,0.1641,1.6292217938976608,freeman_3
6507.0,41.5354,1.3727,2.0785,0.5166,0.1565,1.1481436355340606,freeman_3
6507.5,38.6084,1.3729,2.0776,0.5166,0.1572,1.1857544084777525,freeman_3
6508.0,38.2318,1.4103,2.0671,0.5166,0.1663,1.802916344840778,freeman_3
6508.5,38.9485,1.4684,2.0579,0.5166,0.1742,2.593934062238385,freeman_3
