DEPT,DEN,DT,GR,NEU,RES_DEP,PHI,PERM
6322.5,2.0909,157.6,104.82,0.4046,1.5966,0.3394,5219.283487464216
6323.0,2.1042,155.1,104.279,0.4315,1.6094,0.3305,3464.412819940869
6323.5,2.1191,155.35,104.745,0.4383,1.6484,0.3206,2196.0918210098635
6324.0,2.1262,155.9,100.907,0.4745,1.6799,0.3159,1768.7253344769858
6324.5,2.1233,155.65,103.214,0.4659,1.6702,0.3178,1930.440380950146
6325.0,2.1181,153.8,101.862,0.4454,1.6498,0.3213,2268.031174490726
6325.5,2.1165,154.55,104.22,0.4361,1.6446,0.3223,2374.908669684558
6326.0,2.1158,155.2,105.653,0.4562,1.6173,0.3228,2430.221504340209
6326.5,2.1103,156.05,110.941,0.4589,1.5649,0.3265,2881.6289877361296
6327.0,2.1018,158.6,110.141,0.4764,1.5399,0.3321,3729.290940228661
6327.5,2.1024,159.25,105.095,0.4817,1.5697,0.3317,3661.230813913175
6328.0,2.1188,157.1,103.197,0.4208,1.6325,0.3208,2216.4098580286673
6328.5,2.1414,155.5,104.914,0.4192,1.7185,0.3057,1105.8134960045113
6329.0,2.1535,155.5,106.705,0.4202,1.8,0.2977,765.0657154226186
6329.5,2.1461,156.2,107.263,0.4589,1.8541,0.3026,958.7125601974057
6330.0,2.1268,157.2,107.225,0.4509,1.8107,0.3155,1736.4458283694496
6330.5,2.1106,157.7,106.327,0.4442,1.6765,0.3263,2855.212824572435
6331.0,2.106,156.35,111.282,0.5356,1.5685,0.3293,3278.175235868979
6331.5,2.1102,156.65,112.055,0.5127,1.5068,0.3265,2881.6289877361296
6332.0,2.1142,156.1,109.23,0.497,1.4264,0.3239,2556.4867254694914
6332.5,2.1101,155.6,103.068,0.4685,1.1868,0.3266,2894.9285784388208
6333.0,2.0952,156.4,103.395,0.4714,0.8678,0.3365,4566.852617002503
6333.5,2.0762,158.1,104.494,0.4873,0.6495,0.3492,8195.779009417925
6334.0,2.0642,158.55,107.122,0.4652,0.5897,0.3572,11846.045190874156
6334.5,2.0609,159.7,111.147,0.4452,0.5431,0.3594,13108.975448490133
6335.0,2.0593,161.1,114.135,0.458,0.4641,0.3605,13790.068789498702
6335.5,2.0578,161.4,115.745,0.4629,0.4278,0.3615,14439.904659194455
6336.0,2.0598,162.05,117.537,0.491,0.4709,0.3601,13538.397938724327
6336.5,2.0629,161.6,121.009,0.4804,0.5724,0.3581,12347.28546336776
6337.0,2.0616,161.4,120.628,0.4388,0.6262,0.3589,12810.609809723368
6337.5,2.0583,161.2,116.54,0.4936,0.6694,0.3611,14176.374205057218
6338.0,2.057,161.6,108.542,0.4734,0.7614,0.362,14776.217406312991
6338.5,2.0564,161.9,106.32,0.5663,0.8562,0.3624,15050.898592573407
6339.0,2.0574,161.3,106.001,0.5037,0.8318,0.3617,14573.501312397568
6339.5,2.0634,160.1,110.937,0.5331,0.7237,0.3577,12121.945627522595
6340.0,2.0714,159.55,115.256,0.6768,0.63,0.3524,9496.935704551719
6340.5,2.0751,159.5,113.588,0.7805,0.6532,0.3499,8464.255508245966
6341.0,2.0762,159.85,113.627,0.6952,0.8843,0.3492,8195.779009417925
6341.5,2.0818,160.2,115.058,0.506,1.224,0.3455,6911.909367331539
6342.0,2.0907,158.9,113.189,0.4761,1.3521,0.3395,5243.372061822712
6342.5,2.099,158.45,112.674,0.5095,1.3843,0.334,4070.2610422311386
6343.0,2.1076,158.5,109.944,0.6085,1.3989,0.3283,3130.6482330463136
6343.5,2.1161,158.8,108.939,0.6454,1.3521,0.3226,2407.9434359088505
6344.0,2.1195,159.9,103.264,0.6666,1.1807,0.3203,2165.963463826597
6344.5,2.1156,161.3,99.3908,0.6577,1.0258,0.3229,2441.437712763351
6345.0,2.1114,160.0,106.985,0.5935,0.9731,0.3257,2777.408432507861
6345.5,2.11,158.35,111.651,0.5411,1.0718,0.3267,2908.289550781433
6346.0,2.1078,161.7,115.561,0.6515,1.244,0.3281,3101.9492871083644
