Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,Facies,velocity,Facies_code
9436.0,118.2815,1.3303,110.5436,2.3894,0.4032,0.1681,1.9587174106477812,3.0,751710.1405697963,2
9436.5,124.9763,1.3378,110.638,2.3915,0.3491,0.1668,1.8449071864058075,3.0,747495.8887726117,2
9437.0,124.4821,1.3378,110.6869,2.392,0.3292,0.1665,1.819596758968204,3.0,747495.8887726117,2
9437.5,123.8485,1.3483,110.7422,2.3916,0.3424,0.1667,1.8364314987337824,3.0,741674.7014759326,2
9438.0,120.5955,1.3774,109.5963,2.3913,0.3825,0.1669,1.853421991943953,3.0,726005.5176419341,2
9438.5,118.8452,1.3561,109.3685,2.3922,0.3839,0.1663,1.802916344840778,3.0,737408.7456677236,2
9439.0,116.7489,1.3108,109.0592,2.3991,0.374,0.1619,1.4722611292014898,3.0,762892.8898382668,2
9439.5,111.4414,1.2666,107.9199,2.4095,0.3759,0.1552,1.0814313656007926,3.0,789515.2376440866,2
9440.0,111.5704,1.2846,108.5157,2.4188,0.3587,0.1492,0.8203734609094107,3.0,778452.4365561265,2
9440.5,111.8176,1.3544,108.5938,2.4206,0.3694,0.148,0.7762723738458123,3.0,738334.3177790904,2
9441.0,113.3182,1.3829,108.5775,2.4182,0.3624,0.1495,0.8317847820451214,3.0,723118.0851833104,2
9441.5,120.6924,1.4091,108.571,2.4111,0.3913,0.1541,1.028019325884978,3.0,709672.8408203818,2
9442.0,128.9935,1.4335,109.2545,2.3997,0.3843,0.1615,1.4453921398872176,3.0,697593.3031042902,2
9442.5,128.5908,1.4586,109.5117,2.3857,0.379,0.1705,2.187594019119273,3.0,685588.9208830385,2
9443.0,120.9903,1.4765,109.707,2.3706,0.3997,0.1803,3.4351529642120804,3.0,677277.3450728074,2
9443.5,112.4341,1.4613,109.362,2.359,0.4018,0.1877,4.829814935150296,3.0,684322.1788818175,2
9444.0,113.9964,1.434,109.6289,2.3565,0.4179,0.1894,5.22308277492052,3.0,697350.069735007,2
9444.5,109.6156,1.4104,106.0026,2.3595,0.374,0.1874,4.763554322500552,3.0,709018.7180941576,2
9445.0,116.1103,1.421,109.7656,2.3475,0.3852,0.1952,6.822046715726798,3.0,703729.7677691766,2
9445.5,116.3159,1.4213,109.3815,2.3395,0.3698,0.2003,8.62787698308044,3.0,703581.2284528249,2
9446.0,129.3596,1.4366,109.1179,2.3585,0.3693,0.1881,4.919598352605857,3.0,696087.9855213698,2
9446.5,127.424,1.4157,109.4206,2.3916,0.3515,0.1667,1.8364314987337824,3.0,706364.3427279791,2
9447.0,127.3116,1.4089,108.9779,2.4078,0.3618,0.1563,1.1376184951566208,3.0,709773.5822272695,2
9447.5,117.1996,1.4234,108.6784,2.4034,0.3577,0.1591,1.29416826196588,3.0,702543.206407194,2
9448.0,116.5416,1.4407,109.5931,2.4032,0.3515,0.1592,1.3001412405338448,3.0,694107.0313042271,2
9448.5,116.9375,1.4282,109.8307,2.4077,0.3477,0.1563,1.1376184951566208,3.0,700182.0473323064,2
9449.0,120.1166,1.3767,108.9811,2.4029,0.3782,0.1594,1.3121700262167204,3.0,726374.6640517178,2
9449.5,119.0031,1.3507,108.8021,2.3949,0.4069,0.1646,1.6671672007478555,3.0,740356.8520026653,2
9450.0,122.8289,1.3619,109.0071,2.3899,0.4016,0.1678,1.931845611752817,3.0,734268.3016374182,2
9450.5,120.9211,1.3658,109.9772,2.3926,0.3932,0.1661,1.7863888416339138,3.0,732171.621027969,2
9451.0,121.8676,1.3871,111.11,2.3968,0.3677,0.1634,1.5775447429610638,3.0,720928.5559801024,2
9451.5,120.423,1.429,111.4974,2.398,0.3989,0.1626,1.5204893101803127,3.0,699790.0629811056,2
9452.0,127.6218,1.407,110.931,2.3983,0.3994,0.1624,1.5065508420855955,3.0,710732.0540156361,2
9452.5,131.899,1.3701,110.6543,2.3984,0.3991,0.1623,1.4996295972155949,3.0,729873.7318443909,2
9453.0,128.1566,1.3585,110.0879,2.3966,0.3929,0.1635,1.5848255898313133,3.0,736105.9992638939,2
