DEPT,DEN,DT,GR,NEUT,RES_DEP,NEU
7770.5,2.2382,137.507,43.9145,0.6008,0.9332,
7771.0,2.2382,137.507,44.6467,0.5893,0.9332,
7771.5,2.2382,137.507,44.9683,0.5295,0.9332,
7772.0,2.2382,137.507,45.8543,0.5638,0.9332,
7772.5,2.2382,137.507,44.7998,0.5928,0.9332,
7773.0,2.2382,137.507,45.9411,0.6172,0.9332,
7773.5,2.2382,137.507,43.1498,0.5797,0.9332,
7774.0,2.2382,137.507,38.9224,0.5549,0.9332,
7774.5,2.2382,137.507,37.8108,0.5516,0.9332,
7775.0,2.2382,137.507,36.4499,0.5621,0.9332,
7775.5,2.2382,137.507,40.3652,0.5647,0.9332,
7776.0,2.2382,137.507,41.3035,0.5426,0.9332,
7776.5,2.2382,137.507,46.1351,0.5669,0.9332,
7777.0,2.2382,137.507,48.3058,0.5313,0.9332,
7777.5,2.2382,137.507,50.4514,0.508,0.9332,
7778.0,2.2382,137.507,48.8838,0.4577,0.9332,
7778.5,2.2382,137.507,48.4878,0.5021,0.9332,
7779.0,2.2382,137.507,45.4198,0.5068,0.9332,
7779.5,2.2382,137.507,44.3431,0.5221,0.9332,
7780.0,2.2382,137.507,43.4178,0.4707,0.9332,
7780.5,2.2382,137.507,44.9165,0.4976,0.9332,
7781.0,2.2382,137.507,47.5511,0.5228,0.9332,
7781.5,2.2382,137.507,46.4234,0.5608,0.9332,
7782.0,2.2382,137.507,48.5137,0.5486,0.9332,
7782.5,2.2382,137.507,46.6597,0.5115,0.9332,
7783.0,2.2382,137.507,47.7663,0.4961,0.9332,
7783.5,2.2382,137.507,46.1361,0.5421,0.9332,
7784.0,2.2382,137.507,45.2916,0.6082,0.9332,
7784.5,2.2382,137.507,48.1179,0.6398,0.9332,
7785.0,2.2382,137.507,49.7239,0.6007,0.9332,
7785.5,2.2382,137.507,51.436,0.5287,0.9332,
7786.0,2.2382,137.507,46.8198,0.515,0.9332,
7786.5,2.2382,137.507,44.6051,0.5016,0.9332,
7787.0,2.2382,137.507,45.1182,0.5828,0.9332,
7787.5,2.2382,137.507,51.7862,0.5673,0.9332,
7788.0,2.2382,137.507,66.2782,0.5873,0.9332,
7789.5,2.2382,137.507,74.9084,0.4755,0.9332,
7827.5,2.2382,137.507,70.9985,0.4524,0.9332,
7828.0,2.2382,137.507,66.9682,0.4691,0.9332,
7828.5,2.2382,137.507,72.1105,0.4193,0.9332,
8211.5,2.21,138.3757,74.6249,0.2361,2.7998,
8212.0,2.0826,141.6927,64.4945,0.1133,4.6779,
8212.5,1.9568,143.7467,56.8869,0.0995,5.3372,
8213.0,1.8798,142.0313,56.3182,0.1568,6.2936,
8213.5,1.8675,141.2322,65.0314,0.2466,4.7103,
8216.0,2.1302,147.9265,71.1573,0.2739,4.3991,
8216.5,2.0946,150.4004,69.1656,0.2695,4.5994,
8217.0,2.0653,150.4019,70.817,0.2695,4.5954,
8217.5,2.0224,150.4019,65.9553,0.22,5.636,
8218.0,1.9558,150.4019,59.6423,0.1767,8.1014,
8218.5,1.888,148.1185,53.4582,0.1657,7.0728,
8219.0,1.8631,147.334,57.5395,0.2133,4.1518,
8219.5,1.8866,145.8854,64.8053,0.2623,2.5545,
8220.0,1.9451,141.7936,72.9526,0.3376,2.2582,
8338.5,2.0655,134.5052,73.9779,0.3714,6.8745,
8339.0,2.0342,135.5208,66.2183,0.3858,8.9465,
8339.5,2.0065,134.7461,65.9105,0.3597,12.0832,
8340.0,1.9938,134.2643,65.8134,0.3223,18.4451,
8340.5,1.992,132.1289,66.5144,0.3156,29.0878,
8341.0,1.9956,132.6628,71.3446,0.3227,32.86,
8341.5,2.0112,133.5775,74.1832,0.3435,21.0526,
8346.5,2.2067,119.8991,74.7115,0.3674,3.2448,
8358.0,2.1917,113.1875,74.8255,0.3519,2.648,
8364.0,2.1933,113.413,73.2004,0.3679,6.8541,
8372.0,2.1955,113.7137,74.4152,0.4076,1.9313,
8372.5,2.1957,113.7325,73.8794,0.3979,1.5677,
8374.0,2.1961,113.7888,74.2679,0.381,1.39,
8374.5,2.1962,113.8076,68.7433,0.4042,1.7034,
8375.0,2.1964,113.8264,66.2868,0.4268,2.0775,
8375.5,2.1965,113.8452,67.918,0.4636,1.7917,
8384.0,2.1989,114.1646,72.3059,0.3867,4.1918,
8384.5,2.199,114.1834,71.9452,0.4111,5.5187,
8385.0,2.1992,114.2022,67.6991,0.3972,5.6554,
8385.5,2.1993,114.221,68.9778,0.4318,6.0789,
8386.0,2.1994,114.2398,65.0197,0.414,5.7182,
8386.5,2.1996,114.2586,67.9881,0.4304,5.0027,
8387.0,2.1997,114.2774,64.9855,0.4246,4.4794,
8387.5,2.1999,114.2962,65.3575,0.4336,4.4097,
8388.0,2.2,114.3149,65.2897,0.437,4.2563,
8388.5,2.2001,114.3337,66.7009,0.4434,6.2892,
8389.0,2.2003,114.3525,64.7559,0.4359,10.3215,
8389.5,2.2004,114.3713,63.3358,0.4332,12.1398,
8390.0,2.2005,114.3901,62.5271,0.4219,14.8131,
8390.5,2.2007,114.4089,61.5929,0.4113,18.5303,
8391.0,2.2008,114.4277,59.4605,0.4115,19.5882,
8391.5,2.201,114.4465,55.2094,0.4261,18.9786,
8392.0,2.2011,114.4653,51.5437,0.4492,17.7544,
8392.5,2.2012,114.4841,50.3138,0.4995,16.4677,
8393.0,2.2014,114.5029,48.5301,0.4897,16.1593,
8393.5,2.2015,114.5216,47.9858,0.4904,16.8724,
8394.0,2.2017,114.5404,48.2521,0.4545,18.0794,
8394.5,2.2018,114.5592,50.0298,0.5126,20.5766,
8395.0,2.2019,114.578,54.454,0.4986,17.0966,
8395.5,2.2021,114.5968,55.5006,0.4805,10.2629,
8396.0,2.2022,114.6156,61.7285,0.4325,6.3429,
8396.5,2.2024,114.6344,62.7145,0.4286,6.0285,
8397.0,2.2025,114.6532,67.1667,0.4084,8.8749,
8397.5,2.2026,114.672,59.0836,0.4377,11.9195,
8398.0,2.2028,114.6908,55.1296,0.4385,8.069,
8398.5,2.2029,114.7095,55.7147,0.492,4.5545,
8399.0,2.203,114.7283,63.647,0.5004,3.4845,
8399.5,2.2032,114.7471,67.3247,0.5161,2.727,
8400.0,2.2033,114.7659,67.3794,0.5018,2.1499,
8400.5,2.2035,114.7847,69.136,0.4688,1.8774,
8401.0,2.2036,114.8035,73.822,0.4961,1.8359,
8403.5,2.2043,114.8975,70.4892,0.4799,1.6752,
8404.0,2.2044,114.9162,70.1256,0.5057,2.2139,
8404.5,2.2046,114.935,70.561,0.4946,2.565,
8406.0,2.205,114.9914,69.4884,0.4826,2.6994,
8406.5,2.2051,115.0102,60.9198,0.4353,3.6018,
8407.0,2.2053,115.029,47.2291,0.4315,5.2403,
8407.5,2.2054,115.0478,42.3267,0.4913,5.5466,
8408.0,2.2055,115.0666,42.9665,0.4732,5.5385,
8408.5,2.2057,115.0854,45.722,0.5116,6.72,
8409.0,2.2058,115.1041,49.1919,0.4914,9.1732,
8409.5,2.206,115.1229,55.9346,0.5091,13.1412,
8410.0,2.2061,115.1417,58.9581,0.4862,22.0057,
8410.5,2.2062,115.1605,58.7064,0.4763,49.0424,
8411.0,2.2064,115.1793,50.4138,0.4688,137.2301,
8411.5,2.2065,115.1981,45.1448,0.4875,383.9798,
8412.0,2.2067,115.2169,36.8017,0.4493,881.5204,
8412.5,2.2068,115.2357,38.6549,0.4297,1390.751,
8413.0,2.2069,115.2545,37.3944,0.4017,1207.1949,
8413.5,2.2071,115.2733,39.2063,0.4292,761.8845,
