Depth,GR,Log_ILD,DT,RHOB,NPHI,PHI,PERM,velocity,GRI,vshale,PHIeff,formation_factor,swirr,permeability,Facies_code
6982.0,80.6912,0.8701,156.2,2.092,0.8395,0.36,7691.026193654386,6402.048655569783,0.5798,0.2841687414543812,0.3219213886451129,5.5762381437364485,0.05280264265989179,3746.892576200586,2
6982.5,75.4605,0.8622,155.2,2.0767,0.8531,0.3699,8748.557700544687,6443.298969072165,0.5188,0.2309953603087325,0.3389466217186298,5.260298353643428,0.05128498003140602,3938.762656299386,0
6983.0,75.1852,0.8513,155.2,2.058,0.854,0.3819,10227.212334472257,6443.298969072165,0.5156,0.22842898885730517,0.3512905154931211,4.91133913695338,0.04955471287856171,4178.310111015585,0
6983.5,80.5672,0.8398,154.1,2.0541,0.8137,0.3845,10579.174532116083,6489.2926670992865,0.5783,0.2827589688896586,0.34661029816878575,4.840213845152932,0.04919458224821577,4231.219945217012,2
6984.0,86.3438,0.8409,154.1,2.064,0.633,0.3781,9733.761083184012,6489.2926670992865,0.6457,0.35177628237364567,0.33096197816193146,5.018077139778127,0.05009030415049467,4101.626080164779,2
6984.5,82.5614,0.85,153.1,2.0756,0.5595,0.3706,8828.616954431072,6531.678641410843,0.6016,0.305281572966067,0.329692269222547,5.238959574262783,0.05118085371632044,3952.5262375466073,2
6985.0,78.1104,0.8665,153.4,2.0838,0.5692,0.3653,8240.213847362857,6518.904823989569,0.5497,0.256891254541116,0.33087657189149045,5.403745591602182,0.051979542089182464,3848.963583779967,1
6985.5,78.0487,0.8711,153.4,2.0903,0.6028,0.3611,7801.914708468679,6518.904823989569,0.549,0.25628161175403824,0.32675826402495883,5.539780910074648,0.05262974876471788,3767.954458488156,1
6986.0,80.5278,0.8406,152.5,2.0976,0.7578,0.3564,7339.01958709504,6557.377049180328,0.5779,0.2823839445822437,0.31856055142597933,5.6980419788025225,0.05337622119821954,3678.4120253550877,2
6986.5,80.2787,0.8316,150.3,2.1064,0.5617,0.3507,6814.329992347869,6653.35994677312,0.575,0.27967649350340934,0.3132233498705432,5.899018971117005,0.05430938671683287,3571.391962901735,2
6987.0,75.7696,0.8735,150.4,2.1114,0.4982,0.3475,6536.384795038052,6648.936170212765,0.5224,0.233907815946994,0.31615635266310277,6.016429753032159,0.054847195703299906,3512.0667004204956,0
6987.5,70.8746,0.8958,149.8,2.1073,0.4877,0.3501,6761.329802716523,6675.567423230974,0.4653,0.1907375293809857,0.32454117106294794,5.920776280447274,0.05440944899761104,3560.2270564463693,0
6988.0,71.5007,0.8856,151.5,2.0985,0.5785,0.3558,7281.938490309149,6600.660066006601,0.4726,0.19591069212479642,0.3295479672552773,5.7187210178983365,0.053472988591897204,3667.065509130595,0
6988.5,76.7052,0.8735,152.3,2.0917,0.6048,0.3602,7711.069852920596,6565.988181221273,0.5333,0.24289184285955767,0.3276524930568193,5.569583460532419,0.05277112591433131,3750.7172301327305,1
6989.0,83.0942,0.8674,153.6,2.0818,0.5563,0.3666,8380.805025543214,6510.416666666667,0.6078,0.3115049060264728,0.3248583425924526,5.362630811698517,0.05178141950400026,3874.227677865005,2
6989.5,78.9119,0.8603,155.0,2.0641,0.6356,0.378,9721.102195246232,6451.612903225807,0.559,0.2650955187744039,0.34247720048422986,5.0209317712690495,0.050104549550260655,4099.61843434377,1
6990.0,72.5162,0.8571,156.2,2.0444,0.5099,0.3907,11468.128089984486,6402.048655569783,0.4844,0.20448032886877998,0.3632996359315835,4.676579863820768,0.048355867605807505,4358.838187940056,0
6990.5,68.0901,0.8663,156.4,2.0373,0.5432,0.3953,12175.603955299692,6393.86189258312,0.4328,0.16884624863817496,0.37267460268248453,4.560359064849861,0.047751225454693104,4454.841759293374,0
6991.0,75.1963,0.8794,155.0,2.0449,0.4701,0.3904,11423.442887050902,6451.612903225807,0.5157,0.22850886956661007,0.35977981147807425,4.684309696993559,0.04839581436959997,4352.616115885678,0
6991.5,77.573,0.8783,155.4,2.0569,0.627,0.3826,10320.80296013444,6435.006435006435,0.5434,0.25144367043391047,0.348906548161856,4.892040156051127,0.04945725505955181,4192.519753183373,1
6992.0,79.5942,0.8758,154.5,2.0652,0.5272,0.3773,9632.949748184396,6472.491909385113,0.567,0.27231121872711955,0.340810296690566,5.040980974203125,0.050204486722817535,4085.579782297895,1
6992.5,74.5219,0.882,155.5,2.0677,0.6707,0.3757,9434.448535492293,6430.868167202572,0.5078,0.22226099117364975,0.34591702718273093,5.087250464514776,0.05043436558793407,4053.589143359712,0
6993.0,78.3789,0.8818,155.9,2.0654,0.6298,0.3772,9620.421966751266,6414.368184733804,0.5528,0.2596042959351561,0.34241302434468907,5.043854717911295,0.05021879487757196,4083.5763846771224,1
6993.5,82.5466,0.8859,156.2,2.0595,0.6672,0.381,10108.127512104717,6402.048655569783,0.6014,0.3050824631896151,0.34011894993259156,4.936316436090523,0.049680561772641636,4160.078804912941,2
6994.0,83.5372,0.9059,156.7,2.0529,0.6665,0.3852,10675.986012221236,6381.620931716657,0.613,0.31680132172431724,0.3427486228889415,4.821322591657373,0.04909848567755106,4245.526234029501,2
6994.5,79.3523,0.9162,156.0,2.0493,0.5811,0.3875,11000.362201287531,6410.25641025641,0.5642,0.26976886641044656,0.3513509719010002,4.7600062152286515,0.0487852755205331,4292.715815421385,1
6995.0,73.4556,0.9001,156.2,2.0489,0.5157,0.3878,11043.392435006706,6402.048655569783,0.4954,0.21270594361818154,0.35929740355516365,4.752092758851714,0.04874470616821746,4298.891688217182,0
6995.5,72.2451,0.8722,154.8,2.0498,0.5003,0.3872,10957.499633530137,6459.948320413436,0.4813,0.20220380740817082,0.3601046898073051,4.767938993784225,0.04882591009793993,4286.544721858111,0
6996.0,76.1646,0.8665,155.9,2.0505,0.4991,0.3868,10900.609228102636,6414.368184733804,0.527,0.237668633376788,0.35495240312751036,4.7785461961300095,0.048880191264611524,4278.324031468417,1
6996.5,75.0913,0.8776,155.0,2.0482,0.5827,0.3883,11115.483864742708,6451.612903225807,0.5145,0.2275516518397884,0.3578080786534683,4.738946434898828,0.0486772351048148,4309.195430060805,0
