DEPTH(m)	CALI	GR	RESS	RESD	DENSITY	NEUTRON	
2536.698	14.788	119.88	1.002	1.075	2.167	0.491	387.404
2536.85	14.394	119.003	1.037	1.114	2.162	0.554	384.658
2537.003	13.68	119.276	1.078	1.163	2.168	0.575	380.694
2537.155	13.197	121.542	1.103	1.195	2.179	0.608	376.848
2537.308	12.809	124.857	1.113	1.208	2.183	0.566	370.02
2537.46	12.63	127.012	1.118	1.209	2.178	0.577	361.666
2537.612	12.789	125.162	1.129	1.219	2.175	0.562	358.093
2537.765	13.067	119.533	1.124	1.214	2.178	0.573	358.14
2537.917	12.928	117.001	1.101	1.177	2.184	0.58	357.2
2538.07	12.518	121.497	1.101	1.161	2.188	0.685	354.217
2538.222	12.468	122.054	1.132	1.195	2.181	0.783	351.988
2538.375	12.609	117.332	1.168	1.24	2.159	0.692	351.077
2538.527	12.645	106.047	1.179	1.25	2.14	0.617	349.881
2538.679	13.089	114.643	1.182	1.248	2.144	0.492	350.025
2538.832	13.264	114.333	1.178	1.242	2.173	0.509	352.117
2538.984	12.796	117.646	1.181	1.246	2.201	0.483	354.659
2539.136	12.691	118.28	1.186	1.252	2.211	0.472	354.858
2539.289	12.851	123.203	1.2	1.264	2.214	0.513	351.389
2539.441	12.648	122.726	1.228	1.295	2.221	0.586	345.345
2539.594	12.465	117.009	1.263	1.333	2.228	0.662	339.139
2539.746	12.486	108.076	1.287	1.351	2.232	0.648	335.054
2539.898	12.704	109.562	1.291	1.356	2.231	0.636	334.497
2540.051	13.126	120.886	1.261	1.328	2.223	0.488	336.468
2540.203	13.423	133.59	1.228	1.29	2.208	0.468	340.655
2540.356	12.981	138.28	1.206	1.268	2.207	0.495	346.674
2540.508	12.699	128.986	1.202	1.261	2.223	0.607	350.469
2540.66	12.858	127.574	1.205	1.264	2.233	0.656	350.937
2540.813	12.796	118.06	1.213	1.272	2.216	0.644	348.765
2540.965	12.805	118.085	1.238	1.294	2.195	0.562	343.636
2541.118	12.769	123.54	1.259	1.317	2.198	0.46	339.342
2541.27	12.522	125.964	1.268	1.327	2.223	0.402	331.128
2541.422	12.434	125.218	1.271	1.324	2.25	0.389	330.392
2541.575	12.454	119.93	1.288	1.344	2.259	0.433	325.884
2541.727	12.51	122.192	1.337	1.403	2.253	0.504	316.693
2541.88	12.401	124.892	1.35	1.42	2.251	0.524	304.521
2542.032	12.235	122.194	1.337	1.408	2.266	0.448	294.313
2542.184	12.135	114.437	1.303	1.37	2.286	0.422	287.979
2542.337	12.076	107.004	1.232	1.285	2.293	0.413	282.977
2542.489	11.967	108.699	1.212	1.259	2.285	0.382	282.541
2542.642	11.985	112.87	1.226	1.282	2.273	0.347	289.259
2542.794	12.125	118.393	1.263	1.327	2.257	0.297	299.457
2542.946	12.215	115.641	1.243	1.306	2.235	0.303	309.367
2543.099	12.307	112.225	1.237	1.299	2.215	0.329	317.722
2543.251	12.498	115.493	1.251	1.31	2.205	0.363	323.533
2543.404	12.688	119.322	1.259	1.316	2.21	0.384	325.512
2543.556	12.797	119.356	1.259	1.319	2.231	0.409	324.775
