DEPTH(m),CALI,GR,RESS,RESD,DENSITY,NEUTRON,Depth_ft,PERM
2094.738,12.335,89.39,1.545,1.493,2.183,0.461,6872.5,0.2324
2094.89,12.314,82.915,1.581,1.549,2.177,0.419,6873.0,0.2324
2095.043,12.301,74.475,1.433,1.408,2.144,0.415,6873.5,273.925
2095.195,12.267,67.335,1.171,1.128,2.09,0.378,6874.0,585.376
2095.348,12.258,59.834,0.988,0.929,2.044,0.406,6874.5,1069.55
2095.5,12.259,65.718,0.979,0.919,2.041,0.413,6875.0,1069.55
2095.652,12.269,74.268,1.139,1.084,2.081,0.557,6875.5,0.2324
2095.805,12.276,83.344,1.365,1.306,2.129,0.638,6876.0,0.2324
2095.957,12.275,89.214,1.476,1.413,2.153,0.54,6876.5,0.2324
2096.11,12.276,91.614,1.389,1.32,2.155,0.503,6877.0,0.2324
2096.262,12.285,90.03,1.287,1.208,2.154,0.456,6877.5,0.2324
2096.414,12.33,89.929,1.327,1.24,2.162,0.503,6878.0,0.2324
2096.567,12.373,89.144,1.482,1.391,2.169,0.439,6878.5,0.2324
2096.719,12.358,90.788,1.647,1.549,2.167,0.432,6879.0,0.2324
2096.872,12.33,91.844,1.603,1.494,2.156,0.463,6879.5,0.2324
2097.024,12.308,93.538,1.506,1.391,2.14,0.498,6880.0,0.2324
2097.177,12.287,94.534,1.457,1.338,2.127,0.523,6880.5,0.2324
2097.329,12.27,91.709,1.435,1.32,2.12,0.473,6881.0,0.2324
2097.481,12.247,92.664,1.408,1.291,2.123,0.451,6881.5,0.2324
2097.634,12.26,91.57,1.372,1.244,2.131,0.443,6882.0,0.2324
2097.786,12.297,93.131,1.41,1.273,2.141,0.44,6882.5,0.2324
2097.938,12.314,93.961,1.472,1.331,2.149,0.42,6883.0,0.2324
2098.091,12.333,95.084,1.531,1.382,2.152,0.416,6883.5,0.2324
2098.243,12.347,92.93,1.543,1.393,2.148,0.428,6884.0,0.2324
2098.396,12.36,88.921,1.48,1.33,2.141,0.444,6884.5,0.2324
2098.548,12.357,94.262,1.47,1.318,2.135,0.433,6885.0,0.2324
2098.7,12.322,92.707,1.487,1.33,2.136,0.489,6885.5,0.2324
2098.853,12.348,95.036,1.59,1.43,2.141,0.479,6886.0,0.2324
2099.005,12.393,89.768,1.677,1.515,2.147,0.47,6886.5,0.2324
2099.158,12.408,94.867,1.729,1.563,2.153,0.438,6887.0,0.2324
2099.31,12.429,100.994,1.737,1.572,2.158,0.449,6887.5,0.2324
2099.462,12.44,103.006,1.716,1.562,2.161,0.45,6888.0,0.2324
2099.615,12.437,101.65,1.662,1.516,2.16,0.463,6888.5,0.2324
2099.767,12.464,95.91,1.585,1.457,2.153,0.462,6889.0,0.2324
2099.92,12.452,90.089,1.501,1.389,2.144,0.431,6889.5,0.2324
2100.072,12.427,86.095,1.499,1.404,2.132,0.4,6890.0,0.2324
2100.224,12.384,84.626,1.388,1.301,2.117,0.356,6890.5,0.2324
2100.377,12.294,87.08,1.289,1.205,2.105,0.379,6891.0,0.2324
2100.529,12.228,86.38,1.28,1.209,2.112,0.367,6891.5,0.2324
