Depth,GR,Log_ILD,RHOB,NPHI,PHI,PERM,well
8718.0,42.9701,1912.699,1.9516,0.2896,0.2659,176.9154401423819,freeman_4
8718.5,43.5021,1935.884,1.9887,0.279,0.2339,40.53527794883482,freeman_4
8719.0,46.3386,1950.0,2.017,0.2432,0.2095,13.179063835296798,freeman_4
8719.5,43.6358,1950.0,2.0145,0.2418,0.2116,14.517108985892737,freeman_4
8720.0,43.6227,1950.0,1.986,0.2822,0.2362,45.06385176377636,freeman_4
8720.5,40.432,1950.0,1.958,0.2935,0.2603,136.7028394574989,freeman_4
8721.0,40.8072,1950.0,1.9326,0.3044,0.2822,374.7411594498384,freeman_4
8721.5,41.2264,1950.0,1.9152,0.2974,0.2972,747.652507061859,freeman_4
8722.0,44.5486,1950.0,1.9194,0.3093,0.2936,633.442762601067,freeman_4
8722.5,46.4994,1950.0,1.9517,0.3083,0.2658,176.1026729603497,freeman_4
8723.0,48.0078,1950.0,1.9943,0.2903,0.2291,32.496999820900484,freeman_4
8723.5,45.8789,1950.0,2.0213,0.2797,0.2058,11.114562102171435,freeman_4
8724.0,45.3314,1950.0,2.028,0.269,0.2,8.50951045714897,freeman_4
8724.5,44.6146,1950.0,2.0292,0.2622,0.199,8.126558820062833,freeman_4
8725.0,45.4763,1950.0,2.0329,0.2617,0.1958,7.013154797325741,freeman_4
8725.5,42.0736,1950.0,2.0308,0.2739,0.1976,7.619204542905765,freeman_4
8726.0,41.5772,1950.0,2.0205,0.2855,0.2065,11.478651801975303,freeman_4
8726.5,41.9903,1950.0,2.0113,0.2843,0.2144,16.514834968866705,freeman_4
8727.0,47.9742,1950.0,2.0052,0.2862,0.2197,21.07963429131799,freeman_4
8727.5,48.6241,1950.0,1.9982,0.2773,0.2257,27.78756113435828,freeman_4
8728.0,47.603,1950.0,1.9959,0.2823,0.2277,30.468159297012228,freeman_4
8728.5,43.1309,1950.0,2.0011,0.2615,0.2232,24.765990284580457,freeman_4
8729.0,40.7835,1950.0,2.0076,0.2656,0.2176,19.136719729800053,freeman_4
8729.5,41.4383,1950.0,2.0046,0.2758,0.2202,21.570589729327327,freeman_4
8730.0,39.6659,1950.0,1.99,0.3024,0.2328,38.53323515207176,freeman_4
8730.5,41.3005,1950.0,1.9781,0.2981,0.243,61.6330958874014,freeman_4
8731.0,38.3395,1950.0,1.9796,0.2824,0.2417,58.05193791865049,freeman_4
8731.5,44.4151,1950.0,1.9913,0.253,0.2316,36.46179130453453,freeman_4
8732.0,47.1995,1950.0,2.0064,0.2739,0.2186,20.038508335684924,freeman_4
8732.5,54.7418,1950.0,2.0172,0.2864,0.2093,13.058250121213716,freeman_4
8733.0,55.6902,1950.0,2.026,0.3052,0.2017,9.202397625688262,freeman_4
8733.5,57.1168,1950.0,2.0369,0.274,0.1923,5.969264166596727,freeman_4
8734.0,55.8662,1950.0,2.0458,0.2538,0.1847,4.206654175244887,freeman_4
8734.5,53.0239,1950.0,2.0481,0.2419,0.1827,3.836551428204716,freeman_4
