DEPTH(m),CALI,GR,RESD,RESM,DENSITY,NEUTRON,DTC,DTS
2354.732,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2354.885,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.037,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.19,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.342,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.494,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.647,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.799,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2355.952,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2356.104,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2356.256,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2356.409,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2356.561,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2356.714,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2356.866,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.018,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.171,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.323,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.476,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.628,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.781,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2357.933,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2358.085,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2358.238,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2358.39,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2358.542,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2358.695,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2358.847,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.0,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.152,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.304,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.457,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.609,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.762,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2359.914,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.066,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.219,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.371,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.524,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.676,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.828,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2360.981,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2361.133,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2361.286,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2361.438,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2361.59,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2361.743,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2361.895,12.407,39.032,0.933,0.998,2.238,0.598,137.507,
2362.048,12.405,39.032,0.933,0.998,2.238,0.598,137.507,
2362.2,12.404,39.032,0.933,0.998,2.238,0.598,137.507,
